npoints,time,amount_of_fails,start,end,start_label,end_label
300,9.30443420005031,0,[500 350],[320  50],driveway,mudroom
300,9.012470099958591,0,[50 50],[200 350],br3,patio
300,9.339207499986514,0,[50 50],[220 200],br3,living
300,9.545818399987184,0,[ 50 220],[220  50],br1,study
300,9.77148070000112,0,[50 50],[320 280],br3,nook
300,9.362839200068265,0,[50 50],[500 350],br3,driveway
300,9.3232083999319,0,[320  50],[320 280],mudroom,nook
300,9.318096700008027,0,[200 350],[320 190],patio,kitchen
300,8.962130600004457,0,[120  50],[220  50],br2,study
300,9.303698700037785,0,[320 280],[320 190],nook,kitchen
300,9.196271399967372,0,[320 280],[120  50],nook,br2
300,8.460811500088312,0,[500 350],[200 350],driveway,patio
300,8.819432299933396,0,[500 350],[500 150],driveway,garage
300,18.7316800999688,1,[500 350],[320  50],driveway,mudroom
300,9.326096900040284,0,[100 350],[500 350],garden,driveway
300,29.385712500079535,2,[200 350],[500 150],patio,garage
300,9.416434000013396,0,[ 50 220],[500 350],br1,driveway
300,9.033633999992162,0,[320 190],[220  50],kitchen,study
300,8.96847840002738,0,[200 350],[220 200],patio,living
300,9.840213000075892,0,[120  50],[500 350],br2,driveway
300,9.467897400027141,0,[320  50],[100 350],mudroom,garden
300,8.772932599997148,0,[50 50],[200 350],br3,patio
300,8.897483199951239,0,[220 200],[200 350],living,patio
300,9.005785400047898,0,[120  50],[320  50],br2,mudroom
300,18.870275199995376,1,[320  50],[220 200],mudroom,living
300,9.872160500031896,0,[120  50],[220 200],br2,living
300,9.653110399958678,0,[220  50],[500 350],study,driveway
300,9.172746099997312,0,[500 150],[200 350],garage,patio
300,8.943499899934977,0,[500 350],[320 280],driveway,nook
300,9.525575100095011,0,[500 150],[ 50 220],garage,br1
300,9.358958199969493,0,[500 350],[100 350],driveway,garden
300,9.603656299994327,0,[500 150],[ 50 220],garage,br1
300,9.574031200027093,0,[220 200],[320 280],living,nook
300,9.119369799969718,0,[320 280],[320 190],nook,kitchen
300,9.245083099929616,0,[120  50],[220 200],br2,living
300,9.284878800041042,0,[500 150],[ 50 220],garage,br1
400,15.838860800024122,0,[50 50],[ 50 220],br3,br1
400,15.889414300094359,0,[500 350],[100 350],driveway,garden
400,15.466196399996988,0,[320 190],[500 150],kitchen,garage
400,17.91632680001203,0,[220  50],[ 50 220],study,br1
400,16.983433500048704,0,[50 50],[320  50],br3,mudroom
400,15.475724799907766,0,[120  50],[320 280],br2,nook
400,16.08834009990096,0,[50 50],[320 190],br3,kitchen
400,32.209295099950396,1,[320  50],[500 350],mudroom,driveway
400,17.402202800032683,0,[320 280],[320 190],nook,kitchen
